                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4462,                  5.955,                 1.6163,                 2.5133,                 9.6143,                 1.3569,                      0,                      0,                      0,                      0,                 3.0591,                 6.4763,                 1.8753,                 2.4988,                 6.7011,                  1.434,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.4198,                 5.5859,                 1.5934,                 2.4971,                 8.4171,                 1.3246,                      0,                      0,                      0,                      0,                 2.8216,                 6.2349,                 1.8311,                 2.5104,                   6.65,                  1.389,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 2.4979,                 5.8691,                   1.65,                 2.6013,                 9.9732,                 1.3805,                      0,                      0,                      0,                      0,                  2.837,                 6.1421,                 1.7859,                 2.5189,                 6.6538,                 1.3926,             0.00011206,             0.00011206,             0.00011206
                      4,                 2.0097,                 4.2785,                 1.3573,                 2.1568,                 7.8363,                 1.1981,                0.01221,                0.19841,                0.01172,                0.00392,                 2.0968,                 5.8634,                 1.0497,                 1.8158,                 4.8956,                  1.005,             0.00015252,             0.00015252,             0.00015252
                      5,                 1.5486,                 2.6768,                 1.1151,                 1.7091,                 5.4595,                 1.0332,                0.57151,                0.11063,                0.19055,                0.08991,                 1.8865,                  4.143,                 1.0262,                 1.9685,                 4.2309,                  1.058,             0.00019214,             0.00019214,             0.00019214
                      6,                  1.465,                 1.9568,                 1.0303,                 1.5809,                 3.9688,                0.95832,                0.39579,                0.51851,                0.38492,                0.22878,                 1.8444,                 4.0309,                0.98861,                 1.7068,                 3.5232,                0.93441,              0.0002309,              0.0002309,              0.0002309
                      7,                 1.5294,                 1.7593,                 1.0379,                  1.724,                  3.471,                0.96724,                0.38142,                0.41404,                0.33883,                0.20626,                 1.7177,                 1.8133,                0.96487,                 1.6392,                 4.0062,                0.92748,             0.00026882,             0.00026882,             0.00026882
                      8,                 1.4111,                 1.5699,                 1.0498,                 1.5836,                 2.9049,                0.96167,                0.59337,                0.58201,                0.55309,                0.25824,                 1.9674,                 2.1229,                 1.0259,                  1.869,                 2.9504,                0.97606,             0.00030589,             0.00030589,             0.00030589
                      9,                 1.3263,                 1.3166,                 1.0316,                 1.4924,                 2.1957,                0.98667,                 0.5188,                0.39683,                0.43631,                0.17639,                 1.9225,                 2.6395,                 1.0564,                 2.1249,                 2.6143,                 1.0806,             0.00034211,             0.00034211,             0.00034211
                     10,                 1.2909,                 1.1181,                 1.0105,                 1.4287,                 1.8926,                0.96715,                 0.7961,                0.45206,                 0.5703,                0.28141,                 1.6269,                 1.2951,                0.94192,                 1.9118,                  2.343,                0.98955,             0.00037749,             0.00037749,             0.00037749
                     11,                  1.307,                 1.0615,                0.98531,                 1.4458,                 1.4619,                0.96296,                0.92143,                0.63029,                0.71383,                0.33441,                 2.0295,                 1.3229,                 1.0999,                 2.0971,                 2.1883,                  1.025,             0.00041201,             0.00041201,             0.00041201
